TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt,t_s
2346879570,41.6066992,-86.35605029999999,224.6599884033203,0.021627211943268776,-2.308372735977173,2346.88
2346979547,41.6066991,-86.35605029999999,224.67999267578125,0.04276230186223984,-2.2872376441955566,2346.98
2347079621,41.6066991,-86.35605029999999,224.6999969482422,0.06068446487188339,-2.269315481185913,2347.08
2347179645,41.6066991,-86.35605029999999,224.70999145507812,0.07707741111516953,-2.252922534942627,2347.18
2347279572,41.6066991,-86.35605029999999,224.72999572753906,0.09158232063055038,-2.238417625427246,2347.28
2347379636,41.6066991,-86.35605029999999,224.739990234375,0.10511066764593124,-2.2248892784118652,2347.38
2347479614,41.6066991,-86.35605029999999,224.75,0.11611058562994003,-2.2138893604278564,2347.48
2347579663,41.6066991,-86.35605029999999,224.75999450683594,0.1256592571735382,-2.204340696334839,2347.58
2347679664,41.6066991,-86.35605029999999,224.76998901367188,0.13612249493598938,-2.1938774585723877,2347.68
2347779662,41.6066991,-86.35605029999999,224.77999877929688,0.14368966221809387,-2.186310291290283,2347.78
2347879699,41.6066991,-86.35605029999999,224.7899932861328,0.15093877911567688,-2.1790611743927,2347.88
2347979643,41.6066991,-86.35605029999999,224.7899932861328,0.15865400433540344,-2.1713459491729736,2347.98
2348079665,41.6066991,-86.35605029999999,224.79998779296875,0.16673997044563293,-2.163259983062744,2348.08
2348179622,41.6066991,-86.35605029999999,224.80999755859375,0.17510035634040833,-2.1548995971679688,2348.18
2348279662,41.6066992,-86.35605029999999,224.8199920654297,0.18301966786384583,-2.1469802856445312,2348.28
2348379553,41.6066992,-86.35605029999999,224.8300018310547,0.1912262737751007,-2.1387736797332764,2348.38
2348479498,41.6066992,-86.35605029999999,224.8300018310547,0.1983959972858429,-2.131603956222534,2348.479
2348579557,41.6066992,-86.35605029999999,224.83999633789062,0.20600464940071106,-2.123995304107666,2348.58
2348679571,41.6066992,-86.35605029999999,224.84999084472656,0.213596373796463,-2.116403579711914,2348.68
2348779620,41.6066992,-86.35605029999999,224.86000061035156,0.22093775868415833,-2.1090621948242188,2348.78
2348879681,41.6066992,-86.35605029999999,224.86000061035156,0.2269623577594757,-2.1030375957489014,2348.88
2348979675,41.6066992,-86.35605029999999,224.8699951171875,0.23284295201301575,-2.0971570014953613,2348.98
2349079698,41.6066992,-86.35605029999999,224.8699951171875,0.2382080852985382,-2.091791868209839,2349.08
2349179782,41.6066992,-86.35605029999999,224.87998962402344,0.24374154210090637,-2.0862584114074707,2349.18
2349279734,41.6066992,-86.35605029999999,224.87998962402344,0.24913862347602844,-2.0808613300323486,2349.28
2349379726,41.6066992,-86.35605029999999,224.88999938964844,0.2540788948535919,-2.075921058654785,2349.38
2349479712,41.6066991,-86.35605029999999,224.88999938964844,0.2585904896259308,-2.0714094638824463,2349.48
2349579693,41.6066991,-86.35605029999999,224.89999389648438,0.2629535496234894,-2.0670464038848877,2349.58
2349679704,41.6066991,-86.35605029999999,224.89999389648438,0.2677004635334015,-2.0622994899749756,2349.68
2349779804,41.6066991,-86.35605029999999,224.9099884033203,0.2704973518848419,-2.059502601623535,2349.78
2349879807,41.6066991,-86.35605029999999,224.89999389648438,0.2693155109882355,-2.0606844425201416,2349.88
2349979701,41.606699,-86.35605029999999,224.89999389648438,0.2673027813434601,-2.062697172164917,2349.98
2350079718,41.606699,-86.35605029999999,224.89999389648438,0.26909950375556946,-2.0609004497528076,2350.08
2350179680,41.6066989,-86.35605029999999,224.9099884033203,0.2769818603992462,-2.053018093109131,2350.18
2350279713,41.6066988,-86.3560502,224.92999267578125,0.29802778363227844,-2.0319721698760986,2350.28
2350379673,41.606698699999995,-86.3560502,224.97000122070312,0.3338982164859772,-1.9961017370224,2350.38
2350479665,41.6066986,-86.35605009999999,225.01998901367188,0.38706329464912415,-1.942936658859253,2350.48
2350579694,41.6066985,-86.35605,225.08999633789062,0.4598100483417511,-1.870189905166626,2350.58
2350679709,41.6066984,-86.35605,225.19000244140625,0.5505803823471069,-1.7794195413589478,2350.68
2350779906,41.6066982,-86.3560499,225.29998779296875,0.6637063026428223,-1.6662936210632324,2350.78
2350879739,41.606698,-86.3560498,225.42999267578125,0.798000693321228,-1.5319992303848267,2350.88
2350979788,41.6066978,-86.3560497,225.58999633789062,0.9522682428359985,-1.3777316808700562,2350.98
2351079721,41.6066976,-86.3560495,225.75999450683594,1.123421549797058,-1.2065783739089966,2351.08
2351179739,41.6066973,-86.3560493,225.9499969482422,1.3121225833892822,-1.0178773403167725,2351.18
2351279778,41.606697,-86.3560492,226.14999389648438,1.5195732116699219,-0.8104267120361328,2351.28
2351379776,41.6066966,-86.35604889999999,226.37998962402344,1.7437193393707275,-0.5862805843353271,2351.38
2351479697,41.606696199999995,-86.3560487,226.6199951171875,1.9816489219665527,-0.34835100173950195,2351.48
2351579722,41.6066958,-86.3560486,226.8699951171875,2.231609582901001,-0.09839028120040894,2351.58
2351679712,41.6066954,-86.35604839999999,227.12998962402344,2.4910695552825928,0.1610695868730545,2351.68
2351779872,41.606694999999995,-86.35604819999999,227.38999938964844,2.7542848587036133,0.42428502440452576,2351.78
2351879863,41.6066946,-86.356048,227.64999389648438,3.0157291889190674,0.6857292056083679,2351.88
2351979767,41.6066943,-86.3560479,227.9099884033203,3.271357297897339,0.9413573741912842,2351.98
2352079704,41.606694,-86.35604769999999,228.14999389648438,3.518521785736084,1.1885217428207397,2352.08
2352179723,41.6066937,-86.3560476,228.38999938964844,3.752326726913452,1.422326683998108,2352.18
2352279738,41.6066935,-86.3560474,228.61000061035156,3.974597692489624,1.6445977687835693,2352.28
2352379791,41.6066934,-86.3560473,228.8199920654297,4.182349681854248,1.8523496389389038,2352.38
2352479745,41.606693299999996,-86.3560473,229.01998901367188,4.381990909576416,2.0519909858703613,2352.48
2352579783,41.606693199999995,-86.35604719999999,229.1999969482422,4.567401885986328,2.2374017238616943,2352.58
2352679725,41.606693199999995,-86.3560471,229.37998962402344,4.746639251708984,2.4166390895843506,2352.68
2352779949,41.606693199999995,-86.3560471,229.54998779296875,4.9130940437316895,2.5830938816070557,2352.78
2352879738,41.606693199999995,-86.35604699999999,229.6999969482422,5.069559574127197,2.7395596504211426,2352.88
2352979691,41.606693299999996,-86.3560469,229.84999084472656,5.214820861816406,2.8848209381103516,2352.98
2353079716,41.6066934,-86.3560468,229.989990234375,5.355556011199951,3.0255558490753174,2353.08
2353179604,41.6066934,-86.3560467,230.1199951171875,5.485403060913086,3.155402898788452,2353.18
2353279584,41.6066935,-86.3560467,230.25,5.6104817390441895,3.2804815769195557,2353.28
2353379922,41.6066936,-86.3560467,230.36000061035156,5.726912975311279,3.3969130516052246,2353.38
2353479675,41.6066937,-86.3560466,230.47000122070312,5.838292121887207,3.5082919597625732,2353.48
2353579621,41.606693799999995,-86.35604649999999,230.5800018310547,5.947921276092529,3.6179211139678955,2353.58
2353679799,41.606693799999995,-86.3560464,230.69000244140625,6.055084705352783,3.7250845432281494,2353.68
