TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
48082959,-2.682209014892578e-07,-3.575735263439128e-10,0.0,0.17597077786922455,0.16974997520446777,0.16974997520446777,0.64,nan,0.0,nan,20,20,48.083
48182960,-2.682209014892578e-07,-3.574882612156216e-10,0.0,0.17597077786922455,0.18355436623096466,0.18355436623096466,0.62,nan,0.0,nan,20,20,48.183
48282924,-2.682209014892578e-07,-3.5868197301169857e-10,0.0,0.17597077786922455,0.19601722061634064,0.19601722061634064,0.81,nan,0.0,nan,20,20,48.283
48382937,-2.682209014892578e-07,-3.5839775591739453e-10,0.0,0.17597077786922455,0.20668762922286987,0.20668762922286987,0.75,nan,0.0,nan,20,20,48.383
48482973,-2.682209014892578e-07,-3.581988039513817e-10,0.0,0.17597077786922455,0.21732169389724731,0.21732169389724731,0.79,nan,0.0,nan,19,19,48.483
48583008,-2.682209014892578e-07,-3.589377683965722e-10,0.0,0.17597077786922455,0.22806890308856964,0.22806890308856964,0.89,nan,0.0,nan,19,19,48.583
48682937,-2.682209014892578e-07,-3.5939251574745867e-10,0.0,0.17597077786922455,0.23871642351150513,0.23871642351150513,0.66,nan,0.0,nan,19,19,48.683
48782996,-2.682209014892578e-07,-3.5851144275511615e-10,0.0,0.17597077786922455,0.25020796060562134,0.25020796060562134,0.6,nan,0.0,nan,19,19,48.783
48882888,-2.682209014892578e-07,-3.5791458685707767e-10,0.0,0.17597077786922455,0.2605559229850769,0.2605559229850769,0.8300000000000001,nan,0.0,nan,19,19,48.883
48982894,-2.682209014892578e-07,-3.588809249777114e-10,0.0,0.17597077786922455,0.26848798990249634,0.26848798990249634,0.72,nan,0.0,nan,18,18,48.983
49082966,-2.682209014892578e-07,-3.589093466871418e-10,0.0,0.17597077786922455,0.27617937326431274,0.27617937326431274,0.91,nan,0.0,nan,18,18,49.083
49182922,-2.682209014892578e-07,-3.5842617762682494e-10,0.0,0.17597077786922455,0.2835626006126404,0.2835626006126404,0.79,nan,0.0,nan,18,18,49.183
49282962,-2.682209014892578e-07,-3.5919356378144585e-10,0.0,0.17597077786922455,0.29168885946273804,0.29168885946273804,0.6900000000000001,nan,0.0,nan,18,18,49.283
49382899,-2.682209014892578e-07,-3.5976199797005393e-10,0.0,0.17597077786922455,0.3000105023384094,0.3000105023384094,0.9,nan,0.0,nan,17,17,49.383
49482925,-2.682209014892578e-07,-3.594777808757499e-10,0.0,0.17597077786922455,0.3070186972618103,0.3070186972618103,0.75,nan,0.0,nan,17,17,49.483
49582906,-2.682209014892578e-07,-3.5913672036258504e-10,0.0,0.17597077786922455,0.31423479318618774,0.31423479318618774,0.73,nan,0.0,nan,17,17,49.583
49683032,-2.682209014892578e-07,-3.601599019020796e-10,0.0,0.17597077786922455,0.3210543692111969,0.3210543692111969,0.61,nan,0.0,nan,17,17,49.683
49782969,-2.682209014892578e-07,-3.601314801926492e-10,0.0,0.17597077786922455,0.3266589045524597,0.3266589045524597,0.88,nan,0.0,nan,16,16,49.783
49882986,-2.682209014892578e-07,-3.597335762606235e-10,0.0,0.17597077786922455,0.33020228147506714,0.33020228147506714,0.7000000000000001,nan,0.0,nan,16,16,49.883
49982946,-2.682209014892578e-07,-3.5984726309834514e-10,0.0,0.17597077786922455,0.33376365900039673,0.33376365900039673,0.85,nan,0.0,nan,16,16,49.983
50083012,-2.682209014892578e-07,-3.601314801926492e-10,0.0,0.17597077786922455,0.3371005654335022,0.3371005654335022,0.8300000000000001,nan,0.0,nan,16,16,50.083
50182991,-2.682209014892578e-07,-3.601599019020796e-10,0.0,0.17597077786922455,0.3403807282447815,0.3403807282447815,0.79,nan,0.0,nan,15,15,50.183
50282967,-2.682209014892578e-07,-3.5998937164549716e-10,0.0,0.17597077786922455,0.3440949320793152,0.3440949320793152,0.77,nan,0.0,nan,15,15,50.283
50382993,-2.682209014892578e-07,-3.6055780583410524e-10,0.0,0.17597077786922455,0.3475770056247711,0.3475770056247711,0.87,nan,0.0,nan,15,15,50.383
50482897,-2.682209014892578e-07,-3.6126834856986534e-10,0.0,0.17597077786922455,0.3504278063774109,0.3504278063774109,0.8,nan,0.0,nan,15,15,50.483
50583049,-2.682209014892578e-07,-3.610693966038525e-10,0.0,0.17597077786922455,0.3534086048603058,0.3534086048603058,0.79,nan,0.0,nan,14,14,50.583
50682916,-2.682209014892578e-07,-3.6064307096239645e-10,0.0,0.17597077786922455,0.3562162220478058,0.3562162220478058,0.75,nan,0.0,nan,14,14,50.683
50782922,-2.682209014892578e-07,-3.6141045711701736e-10,0.0,0.17597077786922455,0.35844865441322327,0.35844865441322327,0.61,nan,0.0,nan,14,14,50.783
50882911,-2.682209014892578e-07,-3.6141045711701736e-10,0.0,0.17597077786922455,0.3597279191017151,0.3597279191017151,0.84,nan,0.0,nan,13,13,50.883
50982887,-2.682209014892578e-07,-3.6123992686043493e-10,0.0,0.17597077786922455,0.3591153919696808,0.3591153919696808,0.93,nan,0.0,nan,13,13,50.983
51082962,-2.682209014892578e-07,-3.615809873735998e-10,0.0,0.17597077786922455,0.3582232594490051,0.3582232594490051,0.68,nan,0.0,nan,13,13,51.083
51183012,-2.682209014892578e-07,-3.6146730053587817e-10,0.0,0.17597077786922455,0.358681857585907,0.358681857585907,0.62,nan,0.0,nan,13,13,51.183
