TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
49982770,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,49.983
49982792,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,49.983
50082816,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.083
50082851,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.083
50182817,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.183
50182853,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.183
50282766,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.283
50282784,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.283
50382784,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.383
50382802,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.383
50482772,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.483
50482790,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.483
50582801,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.583
50582853,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.583
50682788,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.683
50682805,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.683
50782791,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.783
50782839,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.783
50882773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.883
50882804,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.883
50982751,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,50.983
50982769,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,50.983
51082726,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,51.083
