TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,t_s
49082910,1,-88,212,455,98,121,-96,0,0,0,1,49082831,49.083
49082910,2,-249,195,359,0,0,0,0,0,0,1,49082829,49.083
49182865,0,-88,260,455,7,3,-176,0,0,0,1,49182862,49.183
49182865,1,-96,217,454,98,121,-96,0,0,0,1,49182861,49.183
49182865,2,-206,277,340,0,0,0,0,0,0,1,49182859,49.183
49282867,0,-88,261,457,7,3,-176,0,0,0,1,49282865,49.283
49282867,1,-93,212,449,98,121,-96,0,0,0,1,49282863,49.283
49282867,2,-210,244,382,0,0,0,0,0,0,1,49282860,49.283
49382812,0,-88,264,455,7,3,-176,0,0,0,1,49382809,49.383
49382812,1,-96,211,451,98,121,-96,0,0,0,1,49382808,49.383
49382812,2,-208,246,397,0,0,0,0,0,0,1,49382806,49.383
49482868,0,-85,257,457,7,3,-176,0,0,0,1,49482866,49.483
49482868,1,-93,212,445,98,121,-96,0,0,0,1,49482864,49.483
49482868,2,-228,244,377,0,0,0,0,0,0,1,49482862,49.483
49582852,0,-87,257,455,7,3,-176,0,0,0,1,49582850,49.583
49582852,1,-94,215,446,98,121,-96,0,0,0,1,49582849,49.583
49582852,2,-200,273,351,0,0,0,0,0,0,1,49582847,49.583
49682897,0,-87,255,455,7,3,-176,0,0,0,1,49682895,49.683
49682897,1,-96,212,449,98,121,-96,0,0,0,1,49682893,49.683
49682897,2,-237,235,331,0,0,0,0,0,0,1,49682892,49.683
49782914,0,-87,260,454,7,3,-176,0,0,0,1,49782911,49.783
49782914,1,-94,211,448,98,121,-96,0,0,0,1,49782909,49.783
49782914,2,-238,263,325,0,0,0,0,0,0,1,49782908,49.783
49882902,0,-83,262,450,7,3,-176,0,0,0,1,49882900,49.883
49882902,1,-90,212,452,98,121,-96,0,0,0,1,49882898,49.883
49882902,2,-232,263,372,0,0,0,0,0,0,1,49882897,49.883
49982816,0,-89,259,457,7,3,-176,0,0,0,1,49982814,49.983
49982816,1,-92,211,450,98,121,-96,0,0,0,1,49982812,49.983
49982816,2,-246,254,308,0,0,0,0,0,0,1,49982810,49.983
50082879,0,-93,254,456,7,3,-176,0,0,0,1,50082877,50.083
50082879,1,-95,207,448,98,121,-96,0,0,0,1,50082874,50.083
50082879,2,-212,257,336,0,0,0,0,0,0,1,50082872,50.083
50182876,0,-94,257,455,7,3,-176,0,0,0,1,50182874,50.183
50182876,1,-100,214,446,98,121,-96,0,0,0,1,50182872,50.183
50182876,2,-210,263,377,0,0,0,0,0,0,1,50182870,50.183
50282830,0,-87,256,454,7,3,-176,0,0,0,1,50282818,50.283
50282830,1,-95,212,447,98,121,-96,0,0,0,1,50282804,50.283
50282830,2,-220,275,342,0,0,0,0,0,0,1,50282802,50.283
50382826,0,-91,256,459,7,3,-176,0,0,0,1,50382824,50.383
50382826,1,-90,213,450,98,121,-96,0,0,0,1,50382822,50.383
50382826,2,-222,254,343,0,0,0,0,0,0,1,50382820,50.383
50482812,0,-86,258,455,7,3,-176,0,0,0,1,50482810,50.483
50482812,1,-92,204,447,98,121,-96,0,0,0,1,50482808,50.483
50482812,2,-247,254,325,0,0,0,0,0,0,1,50482807,50.483
50582876,0,-86,261,457,7,3,-176,0,0,0,1,50582874,50.583
50582876,1,-93,210,449,98,121,-96,0,0,0,1,50582872,50.583
50582876,2,-264,253,339,0,0,0,0,0,0,1,50582871,50.583
50682861,0,-89,260,457,7,3,-176,0,0,0,1,50682859,50.683
50682861,1,-92,211,445,98,121,-96,0,0,0,1,50682857,50.683
50682861,2,-263,252,373,0,0,0,0,0,0,1,50682838,50.683
50782864,0,-87,262,455,7,3,-176,0,0,0,1,50782862,50.783
50782864,1,-90,210,448,98,121,-96,0,0,0,1,50782860,50.783
50782864,2,-241,230,372,0,0,0,0,0,0,1,50782858,50.783
50882851,0,-87,258,453,7,3,-176,0,0,0,1,50882849,50.883
50882851,1,-96,210,450,98,121,-96,0,0,0,1,50882847,50.883
50882851,2,-243,271,347,0,0,0,0,0,0,1,50882845,50.883
50982798,0,-92,259,456,7,3,-176,0,0,0,1,50982795,50.983
50982798,1,-92,208,453,98,121,-96,0,0,0,1,50982792,50.983
50982798,2,-269,281,357,0,0,0,0,0,0,1,50982790,50.983
51082849,0,-91,260,456,7,3,-176,0,0,0,1,51082847,51.083
51082849,1,-95,212,450,98,121,-96,0,0,0,1,51082845,51.083
51082849,2,-206,226,364,0,0,0,0,0,0,1,51082843,51.083
51182913,0,-84,261,451,7,3,-176,0,0,0,1,51182911,51.183
51182913,1,-97,209,446,98,121,-96,0,0,0,1,51182909,51.183
51182913,2,-188,237,352,0,0,0,0,0,0,1,51182907,51.183
51282925,0,-89,259,462,7,3,-176,0,0,0,1,51282923,51.283
51282925,1,-92,211,447,98,121,-96,0,0,0,1,51282921,51.283
51282925,2,-248,236,380,0,0,0,0,0,0,1,51282919,51.283
51382818,0,-85,261,454,7,3,-176,0,0,0,1,51382816,51.383
51382818,1,-89,212,446,98,121,-96,0,0,0,1,51382814,51.383
51382818,2,-242,261,338,0,0,0,0,0,0,1,51382813,51.383
51482806,0,-89,261,454,7,3,-176,0,0,0,1,51482803,51.483
51482806,1,-96,211,445,98,121,-96,0,0,0,1,51482801,51.483
51482806,2,-212,271,357,0,0,0,0,0,0,1,51482799,51.483
51582817,0,-89,256,454,7,3,-176,0,0,0,1,51582815,51.583
51582817,1,-94,212,444,98,121,-96,0,0,0,1,51582814,51.583
51582817,2,-214,257,378,0,0,0,0,0,0,1,51582812,51.583
51682892,0,-85,259,455,7,3,-176,0,0,0,1,51682890,51.683
51682892,1,-91,211,445,98,121,-96,0,0,0,1,51682888,51.683
51682892,2,-245,262,384,0,0,0,0,0,0,1,51682886,51.683
51782901,0,-83,255,455,7,3,-176,0,0,0,1,51782896,51.783
51782901,1,-93,215,445,98,121,-96,0,0,0,1,51782894,51.783
51782901,2,-240,227,333,0,0,0,0,0,0,1,51782892,51.783
51882814,0,-86,261,458,7,3,-176,0,0,0,1,51882812,51.883
51882814,1,-94,210,448,98,121,-96,0,0,0,1,51882810,51.883
51882814,2,-216,248,367,0,0,0,0,0,0,1,51882808,51.883
51982803,0,-92,256,457,7,3,-176,0,0,0,1,51982800,51.983
51982803,1,-92,208,449,98,121,-96,0,0,0,1,51982799,51.983
51982803,2,-240,255,388,0,0,0,0,0,0,1,51982797,51.983
52082832,0,-90,259,457,7,3,-176,0,0,0,1,52082829,52.083
52082832,1,-95,209,452,98,121,-96,0,0,0,1,52082828,52.083
52082832,2,-246,257,351,0,0,0,0,0,0,1,52082826,52.083
52182866,0,-93,269,455,7,3,-176,0,0,0,1,52182863,52.183
52182866,1,-92,210,450,98,121,-96,0,0,0,1,52182861,52.183
52182866,2,-267,287,366,0,0,0,0,0,0,1,52182860,52.183
52282846,0,-87,264,454,7,3,-176,0,0,0,1,52282844,52.283
52282846,1,-93,215,450,98,121,-96,0,0,0,1,52282842,52.283
52282846,2,-269,242,353,0,0,0,0,0,0,1,52282840,52.283
52382860,0,-82,257,452,7,3,-176,0,0,0,1,52382858,52.383
52382860,1,-92,210,448,98,121,-96,0,0,0,1,52382857,52.383
52382860,2,-230,254,330,0,0,0,0,0,0,1,52382855,52.383
52482811,0,-87,253,449,7,3,-176,0,0,0,1,52482809,52.483
52482811,1,-93,215,448,98,121,-96,0,0,0,1,52482807,52.483
52482811,2,-239,243,334,0,0,0,0,0,0,1,52482805,52.483
52582871,0,-87,257,452,7,3,-176,0,0,0,1,52582869,52.583
52582871,1,-91,212,450,98,121,-96,0,0,0,1,52582828,52.583
52582871,2,-241,233,368,0,0,0,0,0,0,1,52582826,52.583
52682827,0,-94,259,455,7,3,-176,0,0,0,1,52682825,52.683
52682827,1,-93,214,451,98,121,-96,0,0,0,1,52682823,52.683
52682827,2,-224,290,405,0,0,0,0,0,0,1,52682821,52.683
52782907,0,-84,257,452,7,3,-176,0,0,0,1,52782905,52.783
52782907,1,-93,212,447,98,121,-96,0,0,0,1,52782903,52.783
52782907,2,-241,270,373,0,0,0,0,0,0,1,52782892,52.783
52882868,0,-83,258,452,7,3,-176,0,0,0,1,52882866,52.883
52882868,1,-90,212,446,98,121,-96,0,0,0,1,52882864,52.883
52882868,2,-241,263,332,0,0,0,0,0,0,1,52882862,52.883
52982818,0,-88,257,454,7,3,-176,0,0,0,1,52982816,52.983
52982818,1,-95,212,443,98,121,-96,0,0,0,1,52982814,52.983
52982818,2,-247,269,344,0,0,0,0,0,0,1,52982812,52.983
53082901,0,-85,259,453,7,3,-176,0,0,0,1,53082883,53.083
53082901,1,-95,209,447,98,121,-96,0,0,0,1,53082882,53.083
53082901,2,-230,249,390,0,0,0,0,0,0,1,53082866,53.083
53182846,0,-88,259,454,7,3,-176,0,0,0,1,53182842,53.183
53182846,1,-91,214,449,98,121,-96,0,0,0,1,53182840,53.183
53182846,2,-240,238,359,0,0,0,0,0,0,1,53182839,53.183
53282901,0,-90,255,452,7,3,-176,0,0,0,1,53282898,53.283
53282901,1,-93,212,449,98,121,-96,0,0,0,1,53282897,53.283
53282901,2,-209,268,324,0,0,0,0,0,0,1,53282895,53.283
53382893,0,-88,260,454,7,3,-176,0,0,0,1,53382890,53.383
53382893,1,-93,210,445,98,121,-96,0,0,0,1,53382889,53.383
53382893,2,-202,240,378,0,0,0,0,0,0,1,53382887,53.383
53482813,0,-86,265,454,7,3,-176,0,0,0,1,53482811,53.483
53482813,1,-94,216,448,98,121,-96,0,0,0,1,53482809,53.483
53482813,2,-253,246,388,0,0,0,0,0,0,1,53482808,53.483
53582861,0,-86,259,459,7,3,-176,0,0,0,1,53582856,53.583
53582861,1,-92,209,445,98,121,-96,0,0,0,1,53582855,53.583
53582861,2,-223,215,389,0,0,0,0,0,0,1,53582853,53.583
53682827,0,-89,254,456,7,3,-176,0,0,0,1,53682824,53.683
53682827,1,-92,210,446,98,121,-96,0,0,0,1,53682823,53.683
53682827,2,-210,256,378,0,0,0,0,0,0,1,53682821,53.683
53782877,0,-88,261,455,7,3,-176,0,0,0,1,53782875,53.783
53782877,1,-91,210,447,98,121,-96,0,0,0,1,53782872,53.783
53782877,2,-254,264,342,0,0,0,0,0,0,1,53782870,53.783
53882848,0,-85,258,453,7,3,-176,0,0,0,1,53882845,53.883
53882848,1,-92,210,452,98,121,-96,0,0,0,1,53882844,53.883
53882848,2,-236,242,379,0,0,0,0,0,0,1,53882842,53.883
53982869,0,-87,264,455,7,3,-176,0,0,0,1,53982866,53.983
53982869,1,-92,209,446,98,121,-96,0,0,0,1,53982865,53.983
53982869,2,-268,267,359,0,0,0,0,0,0,1,53982863,53.983
54082834,0,-84,261,454,7,3,-176,0,0,0,1,54082832,54.083
54082834,1,-95,213,449,98,121,-96,0,0,0,1,54082830,54.083
54082834,2,-239,274,365,0,0,0,0,0,0,1,54082828,54.083
54182846,0,-84,256,453,7,3,-176,0,0,0,1,54182844,54.183
54182846,1,-95,212,447,98,121,-96,0,0,0,1,54182842,54.183
54182846,2,-248,248,359,0,0,0,0,0,0,1,54182840,54.183
54282847,0,-86,266,458,7,3,-176,0,0,0,1,54282845,54.283
54282847,1,-92,212,446,98,121,-96,0,0,0,1,54282843,54.283
54282847,2,-237,224,351,0,0,0,0,0,0,1,54282841,54.283
54382881,0,-82,259,453,7,3,-176,0,0,0,1,54382878,54.383
54382881,1,-92,208,446,98,121,-96,0,0,0,1,54382876,54.383
54382881,2,-272,259,332,0,0,0,0,0,0,1,54382875,54.383
54482897,0,-81,262,452,7,3,-176,0,0,0,1,54482888,54.483
54482897,1,-91,212,447,98,121,-96,0,0,0,1,54482877,54.483
54482897,2,-225,250,356,0,0,0,0,0,0,1,54482816,54.483
54582789,0,-88,262,454,7,3,-176,0,0,0,1,54582786,54.583
54582789,1,-88,209,446,98,121,-96,0,0,0,1,54582785,54.583
54582789,2,-216,197,348,0,0,0,0,0,0,1,54582783,54.583
54682854,0,-91,253,455,7,3,-176,0,0,0,1,54682852,54.683
54682854,1,-94,210,448,98,121,-96,0,0,0,1,54682850,54.683
54682854,2,-214,239,353,0,0,0,0,0,0,1,54682848,54.683
54782988,0,-84,257,455,7,3,-176,0,0,0,1,54782986,54.783
54782988,1,-91,212,447,98,121,-96,0,0,0,1,54782984,54.783
54782988,2,-187,218,359,0,0,0,0,0,0,1,54782942,54.783
54882910,0,-87,259,452,7,3,-176,0,0,0,1,54882907,54.883
54882910,1,-89,211,446,98,121,-96,0,0,0,1,54882906,54.883
54882910,2,-254,230,380,0,0,0,0,0,0,1,54882904,54.883
